Ontology	Metric	Value
"http://purl.obolibrary.obo/cao.owl"	"NumberOfLexicalRegularitiesMetric"	56
"http://purl.obolibrary.obo/cao.owl"	"NumberOfLexicalRegularityClassesMetric"	3
"http://purl.obolibrary.obo/cao.owl"	"LexicalRegularitiesPerClassMetric"	0.275
"http://purl.obolibrary.obo/cao.owl"	"LexicalRegularityClassPercentageMetric"	0.015
"http://purl.obolibrary.obo/cao.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.obo/cao.owl"	"SystematicNamingMetric"	0.974
"http://purl.obolibrary.obo/cao.owl"	"NumberOfClassesMetric"	205
"http://purl.obolibrary.obo/cao.owl"	"NamesPerClassMetric"	1.113
"http://purl.obolibrary.obo/cao.owl"	"NamesPerPropertyMetric"	0.609
"http://purl.obolibrary.obo/cao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.244
"http://purl.obolibrary.obo/cao.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.obo/cao.owl"	"NamesPerObjectPropertyMetric"	0.947
"http://purl.obolibrary.obo/cao.owl"	"SynonymsPerClassMetric"	0.363
"http://purl.obolibrary.obo/cao.owl"	"SynonymsPerPropertyMetric"	0.011
"http://purl.obolibrary.obo/cao.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.obo/cao.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.obo/cao.owl"	"SynonymsPerObjectPropertyMetric"	0.026
"http://purl.obolibrary.obo/cao.owl"	"DescriptionsPerClassMetric"	0.662
"http://purl.obolibrary.obo/cao.owl"	"DescriptionsPerPropertyMetric"	0.326
"http://purl.obolibrary.obo/cao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.178
"http://purl.obolibrary.obo/cao.owl"	"DescriptionsPerDataPropertyMetric"	0.889
"http://purl.obolibrary.obo/cao.owl"	"DescriptionsPerObjectPropertyMetric"	0.368
"http://purl.obolibrary.obo/cao.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.obo/cao.owl"	"ClassesWithNoDescriptionMetric"	0.642
"http://purl.obolibrary.obo/cao.owl"	"ClassesWithNoSynonymMetric"	0.941
"http://purl.obolibrary.obo/cao.owl"	"ObjectPropertiesWithNoNameMetric"	0.053
"http://purl.obolibrary.obo/cao.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.632
"http://purl.obolibrary.obo/cao.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.974
"http://purl.obolibrary.obo/cao.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.obo/cao.owl"	"DataPropertiesWithNoDescriptionMetric"	0.111
"http://purl.obolibrary.obo/cao.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.obo/cao.owl"	"AnnotationPropertiesWithNoNameMetric"	0.756
"http://purl.obolibrary.obo/cao.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.822
"http://purl.obolibrary.obo/cao.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
