Ontology	Metric	Value
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"NumberOfLexicalRegularitiesMetric"	2
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"LexicalRegularitiesPerClassMetric"	0.003
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"LexicalRegularityClassPercentageMetric"	0.003
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"LexicallySuggestLogicallyDefineMetric"	0.719
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"SystematicNamingMetric"	0.569
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"NumberOfClassesMetric"	715
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"NamesPerClassMetric"	0.992
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"NamesPerPropertyMetric"	0.826
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.202
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"NamesPerObjectPropertyMetric"	1.316
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"SynonymsPerClassMetric"	2.909
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"SynonymsPerPropertyMetric"	0.255
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"SynonymsPerObjectPropertyMetric"	0.456
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"DescriptionsPerClassMetric"	1.001
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"DescriptionsPerPropertyMetric"	0.56
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.04
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"DescriptionsPerObjectPropertyMetric"	0.968
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"ClassesWithNoNameMetric"	0.007
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"ClassesWithNoDescriptionMetric"	0.104
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"ClassesWithNoSynonymMetric"	0.277
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"ObjectPropertiesWithNoNameMetric"	0.051
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.184
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.69
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"AnnotationPropertiesWithNoNameMetric"	0.798
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.96
"http://purl.obolibrary.org/obo/caro/releases/2023-03-15/caro.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
