Ontology	Metric	Value
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"NumberOfLexicalRegularitiesMetric"	2
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"LexicallySuggestLogicallyDefineMetric"	0.3
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"SystematicNamingMetric"	0.987
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"NumberOfClassesMetric"	9263
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"NamesPerClassMetric"	1.475
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"NamesPerPropertyMetric"	0.684
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.662
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"NamesPerObjectPropertyMetric"	1.077
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"SynonymsPerClassMetric"	1.643
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"SynonymsPerPropertyMetric"	0.04
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"SynonymsPerAnnotationPropertyMetric"	0.026
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"SynonymsPerObjectPropertyMetric"	0.308
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"DescriptionsPerClassMetric"	0.533
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"DescriptionsPerPropertyMetric"	0.514
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.487
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"ClassesWithNoNameMetric"	0.001
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"ClassesWithNoDescriptionMetric"	0.511
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"ClassesWithNoSynonymMetric"	0.566
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.154
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.692
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"AnnotationPropertiesWithNoNameMetric"	0.397
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.577
"http://purl.org/ccf/releases/2.3.0/ccf.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.983
