Ontology	Metric	Value
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"NumberOfClassesMetric"	132
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"NamesPerPropertyMetric"	0.867
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"SynonymsPerClassMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"DescriptionsPerClassMetric"	0.198
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"DescriptionsPerPropertyMetric"	0.444
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"DescriptionsPerObjectPropertyMetric"	0.58
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"ClassesWithNoDescriptionMetric"	0.84
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"ClassesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.42
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/cdao/2013-02-01/cdao.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
