Ontology	Metric	Value
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"NumberOfLexicalRegularitiesMetric"	0
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"LexicalRegularitiesPerClassMetric"	0
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"LexicalRegularityClassPercentageMetric"	0
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"SystematicNamingMetric"	NaN
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"NumberOfClassesMetric"	3752
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"NamesPerClassMetric"	1
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"NamesPerPropertyMetric"	0.962
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.898
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"NamesPerDataPropertyMetric"	1
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"NamesPerObjectPropertyMetric"	1
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"SynonymsPerClassMetric"	0.398
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"SynonymsPerPropertyMetric"	0.145
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"SynonymsPerAnnotationPropertyMetric"	0.046
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"SynonymsPerDataPropertyMetric"	0
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"SynonymsPerObjectPropertyMetric"	0.204
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"DescriptionsPerClassMetric"	0.986
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"DescriptionsPerPropertyMetric"	0.6
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.741
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"DescriptionsPerDataPropertyMetric"	1
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"DescriptionsPerObjectPropertyMetric"	0.514
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"ClassesWithNoNameMetric"	0
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"ClassesWithNoDescriptionMetric"	0.021
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"ClassesWithNoSynonymMetric"	0.696
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"ObjectPropertiesWithNoNameMetric"	0
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.486
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.84
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"DataPropertiesWithNoNameMetric"	0
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"DataPropertiesWithNoDescriptionMetric"	0
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"DataPropertiesWithNoSynonymMetric"	1
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.102
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.259
"https://im.njmu.edu.cn/CDMO/cdmo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.954
