Ontology	Metric	Value
"http://hadatac.org/ont/chear/2.8"	"NumberOfLexicalRegularitiesMetric"	0
"http://hadatac.org/ont/chear/2.8"	"NumberOfLexicalRegularityClassesMetric"	0
"http://hadatac.org/ont/chear/2.8"	"LexicalRegularitiesPerClassMetric"	0
"http://hadatac.org/ont/chear/2.8"	"LexicalRegularityClassPercentageMetric"	0
"http://hadatac.org/ont/chear/2.8"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://hadatac.org/ont/chear/2.8"	"SystematicNamingMetric"	NaN
"http://hadatac.org/ont/chear/2.8"	"NumberOfClassesMetric"	939
"http://hadatac.org/ont/chear/2.8"	"NamesPerClassMetric"	0.922
"http://hadatac.org/ont/chear/2.8"	"NamesPerPropertyMetric"	0.111
"http://hadatac.org/ont/chear/2.8"	"DescriptionsPerAnnotationPropertyMetric"	0.125
"http://hadatac.org/ont/chear/2.8"	"NamesPerDataPropertyMetric"	0.5
"http://hadatac.org/ont/chear/2.8"	"NamesPerObjectPropertyMetric"	0
"http://hadatac.org/ont/chear/2.8"	"SynonymsPerClassMetric"	0.047
"http://hadatac.org/ont/chear/2.8"	"SynonymsPerPropertyMetric"	0
"http://hadatac.org/ont/chear/2.8"	"SynonymsPerAnnotationPropertyMetric"	0
"http://hadatac.org/ont/chear/2.8"	"SynonymsPerDataPropertyMetric"	0
"http://hadatac.org/ont/chear/2.8"	"SynonymsPerObjectPropertyMetric"	0
"http://hadatac.org/ont/chear/2.8"	"DescriptionsPerClassMetric"	0.495
"http://hadatac.org/ont/chear/2.8"	"DescriptionsPerPropertyMetric"	0.056
"http://hadatac.org/ont/chear/2.8"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://hadatac.org/ont/chear/2.8"	"DescriptionsPerDataPropertyMetric"	0.5
"http://hadatac.org/ont/chear/2.8"	"DescriptionsPerObjectPropertyMetric"	0
"http://hadatac.org/ont/chear/2.8"	"ClassesWithNoNameMetric"	0.099
"http://hadatac.org/ont/chear/2.8"	"ClassesWithNoDescriptionMetric"	0.526
"http://hadatac.org/ont/chear/2.8"	"ClassesWithNoSynonymMetric"	0.977
"http://hadatac.org/ont/chear/2.8"	"ObjectPropertiesWithNoNameMetric"	1
"http://hadatac.org/ont/chear/2.8"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://hadatac.org/ont/chear/2.8"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://hadatac.org/ont/chear/2.8"	"DataPropertiesWithNoNameMetric"	0.5
"http://hadatac.org/ont/chear/2.8"	"DataPropertiesWithNoDescriptionMetric"	0.5
"http://hadatac.org/ont/chear/2.8"	"DataPropertiesWithNoSynonymMetric"	1
"http://hadatac.org/ont/chear/2.8"	"AnnotationPropertiesWithNoNameMetric"	0.875
"http://hadatac.org/ont/chear/2.8"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://hadatac.org/ont/chear/2.8"	"AnnotationPropertiesWithNoSynonymMetric"	1
