Ontology	Metric	Value
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"NumberOfClassesMetric"	200536
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"NamesPerPropertyMetric"	0.532
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.405
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"SynonymsPerClassMetric"	1.918
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"DescriptionsPerClassMetric"	0.268
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"DescriptionsPerPropertyMetric"	0.064
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.081
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"ClassesWithNoDescriptionMetric"	0.732
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"ClassesWithNoSynonymMetric"	0.25
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"AnnotationPropertiesWithNoNameMetric"	0.595
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.919
"http://purl.obolibrary.org/obo/chebi/233/chebi.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
