Ontology	Metric	Value
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"NumberOfClassesMetric"	412
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"NamesPerClassMetric"	0.92
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"NamesPerPropertyMetric"	0.091
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"NamesPerObjectPropertyMetric"	0.1
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"SynonymsPerClassMetric"	2.641
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"DescriptionsPerClassMetric"	0.451
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"ClassesWithNoNameMetric"	0.08
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"ClassesWithNoDescriptionMetric"	0.553
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"ClassesWithNoSynonymMetric"	0.558
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"ObjectPropertiesWithNoNameMetric"	0.9
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/chiro/releases/2015-11-23/chiro.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
