Ontology	Metric	Value
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"NumberOfLexicalRegularitiesMetric"	145
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"NumberOfLexicalRegularityClassesMetric"	10
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"LexicalRegularitiesPerClassMetric"	3.295
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"LexicalRegularityClassPercentageMetric"	0.227
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"SystematicNamingMetric"	1
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"NumberOfClassesMetric"	44
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"NamesPerPropertyMetric"	0.706
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.583
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"SynonymsPerClassMetric"	0.068
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"DescriptionsPerClassMetric"	1.5
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"DescriptionsPerPropertyMetric"	0.353
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.083
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"ClassesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"ClassesWithNoSynonymMetric"	0.932
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"AnnotationPropertiesWithNoNameMetric"	0.417
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.917
"http://purl.obolibrary.org/obo/cio/releases/2015-03-10/cio.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
