Ontology	Metric	Value
"http://clininf.eu/ckdo"	"NumberOfLexicalRegularitiesMetric"	0
"http://clininf.eu/ckdo"	"NumberOfLexicalRegularityClassesMetric"	0
"http://clininf.eu/ckdo"	"LexicalRegularitiesPerClassMetric"	0
"http://clininf.eu/ckdo"	"LexicalRegularityClassPercentageMetric"	0
"http://clininf.eu/ckdo"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://clininf.eu/ckdo"	"SystematicNamingMetric"	NaN
"http://clininf.eu/ckdo"	"NumberOfClassesMetric"	280
"http://clininf.eu/ckdo"	"NamesPerClassMetric"	0
"http://clininf.eu/ckdo"	"NamesPerPropertyMetric"	0
"http://clininf.eu/ckdo"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://clininf.eu/ckdo"	"NamesPerDataPropertyMetric"	NaN
"http://clininf.eu/ckdo"	"NamesPerObjectPropertyMetric"	NaN
"http://clininf.eu/ckdo"	"SynonymsPerClassMetric"	0
"http://clininf.eu/ckdo"	"SynonymsPerPropertyMetric"	0
"http://clininf.eu/ckdo"	"SynonymsPerAnnotationPropertyMetric"	0
"http://clininf.eu/ckdo"	"SynonymsPerDataPropertyMetric"	NaN
"http://clininf.eu/ckdo"	"SynonymsPerObjectPropertyMetric"	NaN
"http://clininf.eu/ckdo"	"DescriptionsPerClassMetric"	0.143
"http://clininf.eu/ckdo"	"DescriptionsPerPropertyMetric"	0
"http://clininf.eu/ckdo"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://clininf.eu/ckdo"	"DescriptionsPerDataPropertyMetric"	NaN
"http://clininf.eu/ckdo"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://clininf.eu/ckdo"	"ClassesWithNoNameMetric"	1
"http://clininf.eu/ckdo"	"ClassesWithNoDescriptionMetric"	0.857
"http://clininf.eu/ckdo"	"ClassesWithNoSynonymMetric"	1
"http://clininf.eu/ckdo"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://clininf.eu/ckdo"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://clininf.eu/ckdo"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://clininf.eu/ckdo"	"DataPropertiesWithNoNameMetric"	NaN
"http://clininf.eu/ckdo"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://clininf.eu/ckdo"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://clininf.eu/ckdo"	"AnnotationPropertiesWithNoNameMetric"	1
"http://clininf.eu/ckdo"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://clininf.eu/ckdo"	"AnnotationPropertiesWithNoSynonymMetric"	1
