Ontology	Metric	Value
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"NumberOfLexicalRegularitiesMetric"	7
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"LexicalRegularitiesPerClassMetric"	0.002
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"NumberOfClassesMetric"	3929
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"NamesPerPropertyMetric"	0.455
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.429
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"SynonymsPerClassMetric"	1.032
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"DescriptionsPerClassMetric"	0.937
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"ClassesWithNoDescriptionMetric"	0.087
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"ClassesWithNoSynonymMetric"	0.429
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.571
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/cmo/2.210/cmo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
