Ontology	Metric	Value
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"LexicalRegularitiesPerClassMetric"	0.005
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"LexicalRegularityClassPercentageMetric"	0.002
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"LexicallySuggestLogicallyDefineMetric"	0.653
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"SystematicNamingMetric"	0.897
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"NumberOfClassesMetric"	813
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"NamesPerClassMetric"	1.305
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"NamesPerPropertyMetric"	0.506
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.264
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"NamesPerObjectPropertyMetric"	0.933
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"SynonymsPerClassMetric"	1.266
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"DescriptionsPerClassMetric"	1.079
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"DescriptionsPerPropertyMetric"	0.542
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.472
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"DescriptionsPerObjectPropertyMetric"	0.667
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"ClassesWithNoDescriptionMetric"	0.016
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"ClassesWithNoSynonymMetric"	0.454
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"ObjectPropertiesWithNoNameMetric"	0.067
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.567
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"AnnotationPropertiesWithNoNameMetric"	0.736
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.528
"http://purl.obolibrary.org/obo/http://www.ebi.ac.uk/cmpo/cmpo.owl/releases/2015-06-12/http://www.ebi.ac.uk/cmpo/cmpo.owl.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
