Ontology	Metric	Value
"http://www.iiitdwd.ac.in/ACB/COKPME"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"LexicalRegularitiesPerClassMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"LexicalRegularityClassPercentageMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.iiitdwd.ac.in/ACB/COKPME"	"SystematicNamingMetric"	NaN
"http://www.iiitdwd.ac.in/ACB/COKPME"	"NumberOfClassesMetric"	25
"http://www.iiitdwd.ac.in/ACB/COKPME"	"NamesPerClassMetric"	0.88
"http://www.iiitdwd.ac.in/ACB/COKPME"	"NamesPerPropertyMetric"	0.543
"http://www.iiitdwd.ac.in/ACB/COKPME"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"NamesPerDataPropertyMetric"	0.667
"http://www.iiitdwd.ac.in/ACB/COKPME"	"NamesPerObjectPropertyMetric"	0.722
"http://www.iiitdwd.ac.in/ACB/COKPME"	"SynonymsPerClassMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"SynonymsPerPropertyMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"SynonymsPerDataPropertyMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"SynonymsPerObjectPropertyMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"DescriptionsPerClassMetric"	1
"http://www.iiitdwd.ac.in/ACB/COKPME"	"DescriptionsPerPropertyMetric"	0.543
"http://www.iiitdwd.ac.in/ACB/COKPME"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.iiitdwd.ac.in/ACB/COKPME"	"DescriptionsPerDataPropertyMetric"	0.611
"http://www.iiitdwd.ac.in/ACB/COKPME"	"DescriptionsPerObjectPropertyMetric"	0.778
"http://www.iiitdwd.ac.in/ACB/COKPME"	"ClassesWithNoNameMetric"	0.12
"http://www.iiitdwd.ac.in/ACB/COKPME"	"ClassesWithNoDescriptionMetric"	0.08
"http://www.iiitdwd.ac.in/ACB/COKPME"	"ClassesWithNoSynonymMetric"	1
"http://www.iiitdwd.ac.in/ACB/COKPME"	"ObjectPropertiesWithNoNameMetric"	0.278
"http://www.iiitdwd.ac.in/ACB/COKPME"	"ObjectPropertiesWithNoDescriptionMetric"	0.222
"http://www.iiitdwd.ac.in/ACB/COKPME"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.iiitdwd.ac.in/ACB/COKPME"	"DataPropertiesWithNoNameMetric"	0.333
"http://www.iiitdwd.ac.in/ACB/COKPME"	"DataPropertiesWithNoDescriptionMetric"	0.389
"http://www.iiitdwd.ac.in/ACB/COKPME"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.iiitdwd.ac.in/ACB/COKPME"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.iiitdwd.ac.in/ACB/COKPME"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.iiitdwd.ac.in/ACB/COKPME"	"AnnotationPropertiesWithNoSynonymMetric"	1
