Ontology	Metric	Value
"http://purl.bioontology.org/ontology/CSP/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/CSP/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/CSP/"	"NumberOfClassesMetric"	9040
"http://purl.bioontology.org/ontology/CSP/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/CSP/"	"NamesPerPropertyMetric"	0.688
"http://purl.bioontology.org/ontology/CSP/"	"DescriptionsPerAnnotationPropertyMetric"	0.444
"http://purl.bioontology.org/ontology/CSP/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/CSP/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/CSP/"	"SynonymsPerClassMetric"	1.534
"http://purl.bioontology.org/ontology/CSP/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"DescriptionsPerClassMetric"	0.914
"http://purl.bioontology.org/ontology/CSP/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/CSP/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/CSP/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/CSP/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/CSP/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"ClassesWithNoDescriptionMetric"	0.086
"http://purl.bioontology.org/ontology/CSP/"	"ClassesWithNoSynonymMetric"	0.413
"http://purl.bioontology.org/ontology/CSP/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/CSP/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/CSP/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/CSP/"	"AnnotationPropertiesWithNoNameMetric"	0.556
"http://purl.bioontology.org/ontology/CSP/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.556
"http://purl.bioontology.org/ontology/CSP/"	"AnnotationPropertiesWithNoSynonymMetric"	1
