Ontology	Metric	Value
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"SystematicNamingMetric"	NaN
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"NumberOfClassesMetric"	42
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"NamesPerClassMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"NamesPerPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"NamesPerDataPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"NamesPerObjectPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"SynonymsPerClassMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"SynonymsPerPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"SynonymsPerDataPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"DescriptionsPerClassMetric"	0.659
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"DescriptionsPerPropertyMetric"	0.031
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"DescriptionsPerDataPropertyMetric"	0.091
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"ClassesWithNoNameMetric"	1
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"ClassesWithNoDescriptionMetric"	0.341
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"ClassesWithNoSynonymMetric"	1
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"DataPropertiesWithNoNameMetric"	1
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"DataPropertiesWithNoDescriptionMetric"	0.909
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://epoch.stanford.edu/ClinicalTrialOntology.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
