Ontology	Metric	Value
"http://www.w3.org/ns/dcat"	"NumberOfLexicalRegularitiesMetric"	8
"http://www.w3.org/ns/dcat"	"NumberOfLexicalRegularityClassesMetric"	4
"http://www.w3.org/ns/dcat"	"LexicalRegularitiesPerClassMetric"	0.444
"http://www.w3.org/ns/dcat"	"LexicalRegularityClassPercentageMetric"	0.222
"http://www.w3.org/ns/dcat"	"LexicallySuggestLogicallyDefineMetric"	0
"http://www.w3.org/ns/dcat"	"SystematicNamingMetric"	NaN
"http://www.w3.org/ns/dcat"	"NumberOfClassesMetric"	19
"http://www.w3.org/ns/dcat"	"NamesPerClassMetric"	3.167
"http://www.w3.org/ns/dcat"	"NamesPerPropertyMetric"	3.607
"http://www.w3.org/ns/dcat"	"DescriptionsPerAnnotationPropertyMetric"	0.263
"http://www.w3.org/ns/dcat"	"NamesPerDataPropertyMetric"	5.7
"http://www.w3.org/ns/dcat"	"NamesPerObjectPropertyMetric"	5.185
"http://www.w3.org/ns/dcat"	"SynonymsPerClassMetric"	0.333
"http://www.w3.org/ns/dcat"	"SynonymsPerPropertyMetric"	0.286
"http://www.w3.org/ns/dcat"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.w3.org/ns/dcat"	"SynonymsPerDataPropertyMetric"	0.4
"http://www.w3.org/ns/dcat"	"SynonymsPerObjectPropertyMetric"	0.444
"http://www.w3.org/ns/dcat"	"DescriptionsPerClassMetric"	6.222
"http://www.w3.org/ns/dcat"	"DescriptionsPerPropertyMetric"	6.946
"http://www.w3.org/ns/dcat"	"DescriptionsPerAnnotationPropertyMetric"	0.526
"http://www.w3.org/ns/dcat"	"DescriptionsPerDataPropertyMetric"	9.6
"http://www.w3.org/ns/dcat"	"DescriptionsPerObjectPropertyMetric"	10.481
"http://www.w3.org/ns/dcat"	"ClassesWithNoNameMetric"	0.444
"http://www.w3.org/ns/dcat"	"ClassesWithNoDescriptionMetric"	0.444
"http://www.w3.org/ns/dcat"	"ClassesWithNoSynonymMetric"	0.833
"http://www.w3.org/ns/dcat"	"ObjectPropertiesWithNoNameMetric"	0.259
"http://www.w3.org/ns/dcat"	"ObjectPropertiesWithNoDescriptionMetric"	0.185
"http://www.w3.org/ns/dcat"	"ObjectPropertiesWithNoSynonymMetric"	0.667
"http://www.w3.org/ns/dcat"	"DataPropertiesWithNoNameMetric"	0.1
"http://www.w3.org/ns/dcat"	"DataPropertiesWithNoDescriptionMetric"	0.1
"http://www.w3.org/ns/dcat"	"DataPropertiesWithNoSynonymMetric"	0.6
"http://www.w3.org/ns/dcat"	"AnnotationPropertiesWithNoNameMetric"	0.737
"http://www.w3.org/ns/dcat"	"AnnotationPropertiesWithNoDescriptionMetric"	0.579
"http://www.w3.org/ns/dcat"	"AnnotationPropertiesWithNoSynonymMetric"	1
