Ontology	Metric	Value
"http://purl.obolibrary.org/obo/"	"NumberOfLexicalRegularitiesMetric"	64
"http://purl.obolibrary.org/obo/"	"NumberOfLexicalRegularityClassesMetric"	3
"http://purl.obolibrary.org/obo/"	"LexicalRegularitiesPerClassMetric"	2.909
"http://purl.obolibrary.org/obo/"	"LexicalRegularityClassPercentageMetric"	0.136
"http://purl.obolibrary.org/obo/"	"LexicallySuggestLogicallyDefineMetric"	1
"http://purl.obolibrary.org/obo/"	"SystematicNamingMetric"	1
"http://purl.obolibrary.org/obo/"	"NumberOfClassesMetric"	22
"http://purl.obolibrary.org/obo/"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/"	"NamesPerPropertyMetric"	0.25
"http://purl.obolibrary.org/obo/"	"DescriptionsPerAnnotationPropertyMetric"	0.25
"http://purl.obolibrary.org/obo/"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/"	"SynonymsPerClassMetric"	0
"http://purl.obolibrary.org/obo/"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/"	"DescriptionsPerClassMetric"	1
"http://purl.obolibrary.org/obo/"	"DescriptionsPerPropertyMetric"	0.25
"http://purl.obolibrary.org/obo/"	"DescriptionsPerAnnotationPropertyMetric"	0.25
"http://purl.obolibrary.org/obo/"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/"	"ClassesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/"	"ClassesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/"	"AnnotationPropertiesWithNoNameMetric"	0.75
"http://purl.obolibrary.org/obo/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.75
"http://purl.obolibrary.org/obo/"	"AnnotationPropertiesWithNoSynonymMetric"	1
