Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ddpheno.owl"	"NumberOfLexicalRegularitiesMetric"	14
"http://purl.obolibrary.org/obo/ddpheno.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/ddpheno.owl"	"LexicalRegularitiesPerClassMetric"	0.014
"http://purl.obolibrary.org/obo/ddpheno.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/ddpheno.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"NumberOfClassesMetric"	1016
"http://purl.obolibrary.org/obo/ddpheno.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/ddpheno.owl"	"NamesPerPropertyMetric"	0.375
"http://purl.obolibrary.org/obo/ddpheno.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"http://purl.obolibrary.org/obo/ddpheno.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"SynonymsPerClassMetric"	0.787
"http://purl.obolibrary.org/obo/ddpheno.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/ddpheno.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/ddpheno.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"DescriptionsPerClassMetric"	1.089
"http://purl.obolibrary.org/obo/ddpheno.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/ddpheno.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/ddpheno.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ddpheno.owl"	"ClassesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/ddpheno.owl"	"ClassesWithNoSynonymMetric"	0.466
"http://purl.obolibrary.org/obo/ddpheno.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/ddpheno.owl"	"AnnotationPropertiesWithNoNameMetric"	0.625
"http://purl.obolibrary.org/obo/ddpheno.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/ddpheno.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
