Ontology	Metric	Value
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"LexicalRegularitiesPerClassMetric"	0.002
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"NumberOfClassesMetric"	1553
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"NamesPerClassMetric"	0.998
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"NamesPerPropertyMetric"	0.683
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.225
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"NamesPerObjectPropertyMetric"	0.988
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"SynonymsPerClassMetric"	1.314
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"SynonymsPerPropertyMetric"	0.029
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"SynonymsPerObjectPropertyMetric"	0.048
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"DescriptionsPerClassMetric"	1.182
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"DescriptionsPerPropertyMetric"	0.673
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.162
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"DescriptionsPerDataPropertyMetric"	2
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"DescriptionsPerObjectPropertyMetric"	1.006
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"ClassesWithNoNameMetric"	0.001
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"ClassesWithNoDescriptionMetric"	0.048
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"ClassesWithNoSynonymMetric"	0.471
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"ObjectPropertiesWithNoNameMetric"	0.012
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.114
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.952
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.775
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.838
"http://purl.obolibrary.org/obo/dpo/releases/2024-04-25/dpo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
