Ontology	Metric	Value
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"NumberOfClassesMetric"	298
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"NamesPerClassMetric"	0.993
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"NamesPerPropertyMetric"	0.474
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.444
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"SynonymsPerClassMetric"	0.609
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"DescriptionsPerClassMetric"	0.936
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"DescriptionsPerPropertyMetric"	0.526
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"ClassesWithNoNameMetric"	0.007
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"ClassesWithNoDescriptionMetric"	0.138
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"ClassesWithNoSynonymMetric"	0.778
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.556
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.611
"http://purl.obolibrary.org/obo/duo/releases/2021-02-23/duo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
