Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"NumberOfClassesMetric"	665
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"NamesPerClassMetric"	1.008
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"NamesPerPropertyMetric"	0.751
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.066
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"NamesPerObjectPropertyMetric"	1.273
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"SynonymsPerClassMetric"	0.686
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"SynonymsPerPropertyMetric"	0.216
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"SynonymsPerObjectPropertyMetric"	0.381
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"DescriptionsPerClassMetric"	0.466
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"DescriptionsPerPropertyMetric"	0.612
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.038
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"DescriptionsPerObjectPropertyMetric"	1.05
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"ClassesWithNoDescriptionMetric"	0.563
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"ClassesWithNoSynonymMetric"	0.643
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.101
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.727
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"AnnotationPropertiesWithNoNameMetric"	0.953
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.962
"http://purl.obolibrary.org/obo/ecao/releases/2024-02-20/ecao.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
