Ontology	Metric	Value
"http://edamontology.org"	"NumberOfLexicalRegularitiesMetric"	4
"http://edamontology.org"	"NumberOfLexicalRegularityClassesMetric"	3
"http://edamontology.org"	"LexicalRegularitiesPerClassMetric"	0.002
"http://edamontology.org"	"LexicalRegularityClassPercentageMetric"	0.001
"http://edamontology.org"	"LexicallySuggestLogicallyDefineMetric"	0.447
"http://edamontology.org"	"SystematicNamingMetric"	0.328
"http://edamontology.org"	"NumberOfClassesMetric"	2385
"http://edamontology.org"	"NamesPerClassMetric"	1
"http://edamontology.org"	"NamesPerPropertyMetric"	0.382
"http://edamontology.org"	"DescriptionsPerAnnotationPropertyMetric"	0.289
"http://edamontology.org"	"NamesPerDataPropertyMetric"	NaN
"http://edamontology.org"	"NamesPerObjectPropertyMetric"	0.923
"http://edamontology.org"	"SynonymsPerClassMetric"	1.116
"http://edamontology.org"	"SynonymsPerPropertyMetric"	0.202
"http://edamontology.org"	"SynonymsPerAnnotationPropertyMetric"	0.118
"http://edamontology.org"	"SynonymsPerDataPropertyMetric"	NaN
"http://edamontology.org"	"SynonymsPerObjectPropertyMetric"	0.692
"http://edamontology.org"	"DescriptionsPerClassMetric"	0.239
"http://edamontology.org"	"DescriptionsPerPropertyMetric"	0.18
"http://edamontology.org"	"DescriptionsPerAnnotationPropertyMetric"	0.053
"http://edamontology.org"	"DescriptionsPerDataPropertyMetric"	NaN
"http://edamontology.org"	"DescriptionsPerObjectPropertyMetric"	0.923
"http://edamontology.org"	"ClassesWithNoNameMetric"	0
"http://edamontology.org"	"ClassesWithNoDescriptionMetric"	0.783
"http://edamontology.org"	"ClassesWithNoSynonymMetric"	0.569
"http://edamontology.org"	"ObjectPropertiesWithNoNameMetric"	0.077
"http://edamontology.org"	"ObjectPropertiesWithNoDescriptionMetric"	0.077
"http://edamontology.org"	"ObjectPropertiesWithNoSynonymMetric"	0.385
"http://edamontology.org"	"DataPropertiesWithNoNameMetric"	NaN
"http://edamontology.org"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://edamontology.org"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://edamontology.org"	"AnnotationPropertiesWithNoNameMetric"	0.711
"http://edamontology.org"	"AnnotationPropertiesWithNoDescriptionMetric"	0.961
"http://edamontology.org"	"AnnotationPropertiesWithNoSynonymMetric"	0.921
