Ontology	Metric	Value
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"NumberOfClassesMetric"	7995
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"NamesPerPropertyMetric"	0.593
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.389
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"SynonymsPerClassMetric"	0.156
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"DescriptionsPerClassMetric"	0.027
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"ClassesWithNoDescriptionMetric"	0.973
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"ClassesWithNoSynonymMetric"	0.879
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"AnnotationPropertiesWithNoNameMetric"	0.611
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/emapa/releases/2022-11-04/emapa.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
