Ontology	Metric	Value
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"NumberOfLexicalRegularitiesMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"NumberOfLexicalRegularityClassesMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"LexicalRegularitiesPerClassMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"LexicalRegularityClassPercentageMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"SystematicNamingMetric"	NaN
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"NumberOfClassesMetric"	81
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"NamesPerClassMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"NamesPerPropertyMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"NamesPerDataPropertyMetric"	NaN
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"NamesPerObjectPropertyMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"SynonymsPerClassMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"SynonymsPerPropertyMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"SynonymsPerAnnotationPropertyMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"SynonymsPerDataPropertyMetric"	NaN
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"SynonymsPerObjectPropertyMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"DescriptionsPerClassMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"DescriptionsPerPropertyMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"DescriptionsPerDataPropertyMetric"	NaN
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"DescriptionsPerObjectPropertyMetric"	0
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"ClassesWithNoNameMetric"	1
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"ClassesWithNoDescriptionMetric"	1
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"ClassesWithNoSynonymMetric"	1
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"ObjectPropertiesWithNoNameMetric"	1
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"DataPropertiesWithNoNameMetric"	NaN
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"AnnotationPropertiesWithNoNameMetric"	1
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://rds.posccaesar.org/2008/07/OWL/ISO-15926-2_2003_entityMembership"	"AnnotationPropertiesWithNoSynonymMetric"	1
