Ontology	Metric	Value
"http://vocabs.lter-europe.net/EnvThes/"	"NumberOfLexicalRegularitiesMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"LexicalRegularitiesPerClassMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"LexicalRegularityClassPercentageMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"SystematicNamingMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"NumberOfClassesMetric"	3
"http://vocabs.lter-europe.net/EnvThes/"	"NamesPerClassMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"NamesPerPropertyMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"NamesPerDataPropertyMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"NamesPerObjectPropertyMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"SynonymsPerClassMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"SynonymsPerPropertyMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"SynonymsPerDataPropertyMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"SynonymsPerObjectPropertyMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"DescriptionsPerClassMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"DescriptionsPerPropertyMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://vocabs.lter-europe.net/EnvThes/"	"DescriptionsPerDataPropertyMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"ClassesWithNoNameMetric"	1
"http://vocabs.lter-europe.net/EnvThes/"	"ClassesWithNoDescriptionMetric"	1
"http://vocabs.lter-europe.net/EnvThes/"	"ClassesWithNoSynonymMetric"	1
"http://vocabs.lter-europe.net/EnvThes/"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"DataPropertiesWithNoNameMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://vocabs.lter-europe.net/EnvThes/"	"AnnotationPropertiesWithNoNameMetric"	1
"http://vocabs.lter-europe.net/EnvThes/"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://vocabs.lter-europe.net/EnvThes/"	"AnnotationPropertiesWithNoSynonymMetric"	1
