Ontology	Metric	Value
"http://www.case.edu/EpilepsyOntology.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.case.edu/EpilepsyOntology.owl"	"SystematicNamingMetric"	NaN
"http://www.case.edu/EpilepsyOntology.owl"	"NumberOfClassesMetric"	2160
"http://www.case.edu/EpilepsyOntology.owl"	"NamesPerClassMetric"	0.614
"http://www.case.edu/EpilepsyOntology.owl"	"NamesPerPropertyMetric"	0.046
"http://www.case.edu/EpilepsyOntology.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"NamesPerDataPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"NamesPerObjectPropertyMetric"	0.057
"http://www.case.edu/EpilepsyOntology.owl"	"SynonymsPerClassMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"SynonymsPerPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"SynonymsPerDataPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"DescriptionsPerClassMetric"	0.301
"http://www.case.edu/EpilepsyOntology.owl"	"DescriptionsPerPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"DescriptionsPerDataPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://www.case.edu/EpilepsyOntology.owl"	"ClassesWithNoNameMetric"	0.495
"http://www.case.edu/EpilepsyOntology.owl"	"ClassesWithNoDescriptionMetric"	0.766
"http://www.case.edu/EpilepsyOntology.owl"	"ClassesWithNoSynonymMetric"	1
"http://www.case.edu/EpilepsyOntology.owl"	"ObjectPropertiesWithNoNameMetric"	0.943
"http://www.case.edu/EpilepsyOntology.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://www.case.edu/EpilepsyOntology.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.case.edu/EpilepsyOntology.owl"	"DataPropertiesWithNoNameMetric"	1
"http://www.case.edu/EpilepsyOntology.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"http://www.case.edu/EpilepsyOntology.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.case.edu/EpilepsyOntology.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.case.edu/EpilepsyOntology.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.case.edu/EpilepsyOntology.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
