Ontology	Metric	Value
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"LexicalRegularitiesPerClassMetric"	0.001
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"NumberOfClassesMetric"	4762
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"NamesPerClassMetric"	1.001
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"NamesPerPropertyMetric"	0.756
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.746
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"SynonymsPerClassMetric"	0.766
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"SynonymsPerPropertyMetric"	0.177
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"SynonymsPerAnnotationPropertyMetric"	0.194
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"SynonymsPerObjectPropertyMetric"	0.165
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"DescriptionsPerClassMetric"	0.735
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"DescriptionsPerPropertyMetric"	0.758
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.699
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"DescriptionsPerDataPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"DescriptionsPerObjectPropertyMetric"	0.848
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"ClassesWithNoDescriptionMetric"	0.278
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"ClassesWithNoSynonymMetric"	0.653
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.169
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.904
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"DataPropertiesWithNoDescriptionMetric"	0.5
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"AnnotationPropertiesWithNoNameMetric"	0.254
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.303
"http://purl.obolibrary.org/obo/eupath/2023-05-30/eupath.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.828
