Ontology	Metric	Value
"http://biohackathon.org/resource/faldo"	"NumberOfLexicalRegularitiesMetric"	7
"http://biohackathon.org/resource/faldo"	"NumberOfLexicalRegularityClassesMetric"	1
"http://biohackathon.org/resource/faldo"	"LexicalRegularitiesPerClassMetric"	0.389
"http://biohackathon.org/resource/faldo"	"LexicalRegularityClassPercentageMetric"	0.056
"http://biohackathon.org/resource/faldo"	"LexicallySuggestLogicallyDefineMetric"	1
"http://biohackathon.org/resource/faldo"	"NumberOfClassesMetric"	19
"http://biohackathon.org/resource/faldo"	"NamesPerClassMetric"	0.833
"http://biohackathon.org/resource/faldo"	"NamesPerPropertyMetric"	0.588
"http://biohackathon.org/resource/faldo"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://biohackathon.org/resource/faldo"	"NamesPerDataPropertyMetric"	1
"http://biohackathon.org/resource/faldo"	"NamesPerObjectPropertyMetric"	0.9
"http://biohackathon.org/resource/faldo"	"SynonymsPerClassMetric"	0
"http://biohackathon.org/resource/faldo"	"SynonymsPerPropertyMetric"	0
"http://biohackathon.org/resource/faldo"	"SynonymsPerAnnotationPropertyMetric"	0
"http://biohackathon.org/resource/faldo"	"SynonymsPerDataPropertyMetric"	0
"http://biohackathon.org/resource/faldo"	"SynonymsPerObjectPropertyMetric"	0
"http://biohackathon.org/resource/faldo"	"DescriptionsPerClassMetric"	0.944
"http://biohackathon.org/resource/faldo"	"DescriptionsPerPropertyMetric"	0.647
"http://biohackathon.org/resource/faldo"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://biohackathon.org/resource/faldo"	"DescriptionsPerDataPropertyMetric"	2
"http://biohackathon.org/resource/faldo"	"DescriptionsPerObjectPropertyMetric"	0.9
"http://biohackathon.org/resource/faldo"	"ClassesWithNoNameMetric"	0.167
"http://biohackathon.org/resource/faldo"	"ClassesWithNoDescriptionMetric"	0.111
"http://biohackathon.org/resource/faldo"	"ClassesWithNoSynonymMetric"	1
"http://biohackathon.org/resource/faldo"	"ObjectPropertiesWithNoNameMetric"	0.1
"http://biohackathon.org/resource/faldo"	"ObjectPropertiesWithNoDescriptionMetric"	0.1
"http://biohackathon.org/resource/faldo"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://biohackathon.org/resource/faldo"	"DataPropertiesWithNoNameMetric"	0
"http://biohackathon.org/resource/faldo"	"DataPropertiesWithNoDescriptionMetric"	0
"http://biohackathon.org/resource/faldo"	"DataPropertiesWithNoSynonymMetric"	1
"http://biohackathon.org/resource/faldo"	"AnnotationPropertiesWithNoNameMetric"	1
"http://biohackathon.org/resource/faldo"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://biohackathon.org/resource/faldo"	"AnnotationPropertiesWithNoSynonymMetric"	1
