Ontology	Metric	Value
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"NumberOfLexicalRegularitiesMetric"	5
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"LexicallySuggestLogicallyDefineMetric"	0.993
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"SystematicNamingMetric"	0.98
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"NumberOfClassesMetric"	23148
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"NamesPerPropertyMetric"	0.526
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.33
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"SynonymsPerClassMetric"	1.556
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"SynonymsPerPropertyMetric"	0.038
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"SynonymsPerObjectPropertyMetric"	0.128
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"DescriptionsPerClassMetric"	1.461
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"DescriptionsPerPropertyMetric"	0.677
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.479
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"DescriptionsPerObjectPropertyMetric"	1.154
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"ClassesWithNoDescriptionMetric"	0.004
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"ClassesWithNoSynonymMetric"	0.213
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.047
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.93
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"AnnotationPropertiesWithNoNameMetric"	0.67
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.521
"http://purl.obolibrary.org/obo/fbbt.obo/fbbt/releases/2024-04-25/fbbt.obo.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
