Ontology	Metric	Value
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"NumberOfClassesMetric"	2106
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"NamesPerClassMetric"	0.999
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"NamesPerPropertyMetric"	0.737
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.405
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"NamesPerObjectPropertyMetric"	0.944
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"SynonymsPerClassMetric"	1.831
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"SynonymsPerPropertyMetric"	0.034
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"SynonymsPerObjectPropertyMetric"	0.056
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"DescriptionsPerClassMetric"	0.908
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"DescriptionsPerPropertyMetric"	0.698
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.278
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"DescriptionsPerObjectPropertyMetric"	0.96
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"ClassesWithNoDescriptionMetric"	0.135
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"ClassesWithNoSynonymMetric"	0.437
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"ObjectPropertiesWithNoNameMetric"	0.056
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.135
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.944
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"AnnotationPropertiesWithNoNameMetric"	0.595
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.747
"http://purl.obolibrary.org/obo/fbcv/releases/2024-04-25/fbcv.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
