Ontology	Metric	Value
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"NumberOfClassesMetric"	542
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"NamesPerClassMetric"	1.466
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"NamesPerPropertyMetric"	0.845
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.262
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"NamesPerObjectPropertyMetric"	1.09
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"SynonymsPerClassMetric"	0.076
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"SynonymsPerPropertyMetric"	0.268
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"SynonymsPerObjectPropertyMetric"	0.38
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"DescriptionsPerClassMetric"	0.144
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"DescriptionsPerPropertyMetric"	0.69
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.071
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"DescriptionsPerObjectPropertyMetric"	0.95
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"ClassesWithNoDescriptionMetric"	0.856
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"ClassesWithNoSynonymMetric"	0.939
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.13
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.76
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"AnnotationPropertiesWithNoNameMetric"	0.738
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.929
"http://purl.obolibrary.org/obo/fbbi/releases/2020-11-06/fbbi.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
