Ontology	Metric	Value
"https://w3id.org/fair-genomes/ontology/"	"NumberOfLexicalRegularitiesMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"NumberOfLexicalRegularityClassesMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"LexicalRegularitiesPerClassMetric"	0.111
"https://w3id.org/fair-genomes/ontology/"	"LexicalRegularityClassPercentageMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://w3id.org/fair-genomes/ontology/"	"SystematicNamingMetric"	NaN
"https://w3id.org/fair-genomes/ontology/"	"NumberOfClassesMetric"	9
"https://w3id.org/fair-genomes/ontology/"	"NamesPerClassMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"NamesPerPropertyMetric"	0.871
"https://w3id.org/fair-genomes/ontology/"	"DescriptionsPerAnnotationPropertyMetric"	0.627
"https://w3id.org/fair-genomes/ontology/"	"NamesPerDataPropertyMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"NamesPerObjectPropertyMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"SynonymsPerClassMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"SynonymsPerPropertyMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"SynonymsPerAnnotationPropertyMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"SynonymsPerDataPropertyMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"SynonymsPerObjectPropertyMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"DescriptionsPerClassMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"DescriptionsPerPropertyMetric"	0.871
"https://w3id.org/fair-genomes/ontology/"	"DescriptionsPerAnnotationPropertyMetric"	0.627
"https://w3id.org/fair-genomes/ontology/"	"DescriptionsPerDataPropertyMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"DescriptionsPerObjectPropertyMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"ClassesWithNoNameMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"ClassesWithNoDescriptionMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"ClassesWithNoSynonymMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"ObjectPropertiesWithNoNameMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"ObjectPropertiesWithNoSynonymMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"DataPropertiesWithNoNameMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"DataPropertiesWithNoDescriptionMetric"	0
"https://w3id.org/fair-genomes/ontology/"	"DataPropertiesWithNoSynonymMetric"	1
"https://w3id.org/fair-genomes/ontology/"	"AnnotationPropertiesWithNoNameMetric"	0.373
"https://w3id.org/fair-genomes/ontology/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.373
"https://w3id.org/fair-genomes/ontology/"	"AnnotationPropertiesWithNoSynonymMetric"	1
