Ontology	Metric	Value
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"NumberOfLexicalRegularitiesMetric"	4
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"LexicalRegularitiesPerClassMetric"	0
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"LexicalRegularityClassPercentageMetric"	0
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"SystematicNamingMetric"	NaN
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"NumberOfClassesMetric"	35461
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"NamesPerClassMetric"	1.02
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"NamesPerPropertyMetric"	1.125
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.612
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"NamesPerDataPropertyMetric"	0.75
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"NamesPerObjectPropertyMetric"	1.311
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"SynonymsPerClassMetric"	0.645
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"SynonymsPerPropertyMetric"	0.242
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"SynonymsPerDataPropertyMetric"	0
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"SynonymsPerObjectPropertyMetric"	0.332
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"DescriptionsPerClassMetric"	0.842
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"DescriptionsPerPropertyMetric"	0.735
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.284
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"DescriptionsPerDataPropertyMetric"	0.75
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"DescriptionsPerObjectPropertyMetric"	0.891
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"ClassesWithNoNameMetric"	0.001
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"ClassesWithNoDescriptionMetric"	0.242
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"ClassesWithNoSynonymMetric"	0.739
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"ObjectPropertiesWithNoNameMetric"	0.021
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.222
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.768
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"DataPropertiesWithNoNameMetric"	0.25
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"DataPropertiesWithNoDescriptionMetric"	0.25
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"DataPropertiesWithNoSynonymMetric"	1
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"AnnotationPropertiesWithNoNameMetric"	0.657
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.791
"https://github.com/FoodOntology/foodon/releases/download/v2024-03-26/foodon.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
