Ontology	Metric	Value
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"LexicallySuggestLogicallyDefineMetric"	0.899
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"SystematicNamingMetric"	0.738
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"NumberOfClassesMetric"	11226
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"NamesPerPropertyMetric"	0.753
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.105
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"NamesPerObjectPropertyMetric"	1.302
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"SynonymsPerClassMetric"	2.687
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"SynonymsPerPropertyMetric"	0.16
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"SynonymsPerObjectPropertyMetric"	0.295
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"DescriptionsPerClassMetric"	0.986
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"DescriptionsPerPropertyMetric"	0.56
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.049
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"DescriptionsPerObjectPropertyMetric"	0.994
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"ClassesWithNoNameMetric"	0.001
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"ClassesWithNoDescriptionMetric"	0.074
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"ClassesWithNoSynonymMetric"	0.275
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"ObjectPropertiesWithNoNameMetric"	0.029
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.159
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.794
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"AnnotationPropertiesWithNoNameMetric"	0.933
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.966
"http://purl.obolibrary.org/obo/fovt/releases/2023-05-31/fovt.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
