Ontology	Metric	Value
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"NumberOfLexicalRegularitiesMetric"	5
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"SystematicNamingMetric"	NaN
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"NumberOfClassesMetric"	61426
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"NamesPerClassMetric"	1
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"NamesPerPropertyMetric"	0.833
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"NamesPerDataPropertyMetric"	NaN
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"NamesPerObjectPropertyMetric"	1
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"SynonymsPerClassMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"SynonymsPerPropertyMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"DescriptionsPerClassMetric"	0.387
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"DescriptionsPerPropertyMetric"	0.833
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"DescriptionsPerObjectPropertyMetric"	1
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"ClassesWithNoNameMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"ClassesWithNoDescriptionMetric"	0.613
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"ClassesWithNoSynonymMetric"	1
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://www.ebi.ac.uk/chembl/ftc/ftc-kb-full.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
