Ontology	Metric	Value
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"NumberOfClassesMetric"	1787
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"NamesPerClassMetric"	0.974
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"NamesPerPropertyMetric"	0.843
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"DescriptionsPerAnnotationPropertyMetric"	1.065
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"NamesPerDataPropertyMetric"	0.074
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"NamesPerObjectPropertyMetric"	1.229
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"SynonymsPerClassMetric"	0.358
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"SynonymsPerPropertyMetric"	0.114
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"SynonymsPerObjectPropertyMetric"	0.343
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"DescriptionsPerClassMetric"	0.685
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"DescriptionsPerPropertyMetric"	0.752
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.465
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"DescriptionsPerDataPropertyMetric"	0.926
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"DescriptionsPerObjectPropertyMetric"	0.971
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"ClassesWithNoNameMetric"	0.039
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"ClassesWithNoDescriptionMetric"	0.371
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"ClassesWithNoSynonymMetric"	0.864
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"ObjectPropertiesWithNoNameMetric"	0.051
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.256
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.744
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"DataPropertiesWithNoNameMetric"	0.926
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"DataPropertiesWithNoDescriptionMetric"	0.111
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"AnnotationPropertiesWithNoNameMetric"	0.217
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.609
"http://purl.obolibrary.org/obo/genepio/releases/2023-08-19/genepio.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
