Ontology	Metric	Value
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"LexicalRegularitiesPerClassMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"LexicalRegularityClassPercentageMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"NumberOfClassesMetric"	0
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"NamesPerClassMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"NamesPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"SynonymsPerClassMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"DescriptionsPerClassMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"ClassesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"ClassesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"ClassesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/geo/geo-all.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
