Ontology	Metric	Value
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"NumberOfLexicalRegularitiesMetric"	3
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"NumberOfLexicalRegularityClassesMetric"	3
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"LexicalRegularitiesPerClassMetric"	0.013
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"LexicalRegularityClassPercentageMetric"	0.013
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"LexicallySuggestLogicallyDefineMetric"	0.767
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"SystematicNamingMetric"	0.713
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"NumberOfClassesMetric"	230
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"NamesPerClassMetric"	1
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"NamesPerPropertyMetric"	0.863
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"NamesPerDataPropertyMetric"	1
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"NamesPerObjectPropertyMetric"	0.971
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"SynonymsPerClassMetric"	0
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"SynonymsPerPropertyMetric"	0
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"SynonymsPerAnnotationPropertyMetric"	0
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"SynonymsPerDataPropertyMetric"	0
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"SynonymsPerObjectPropertyMetric"	0
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"DescriptionsPerClassMetric"	0.939
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"DescriptionsPerPropertyMetric"	0.137
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"DescriptionsPerDataPropertyMetric"	0.172
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"DescriptionsPerObjectPropertyMetric"	0.143
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"ClassesWithNoNameMetric"	0
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"ClassesWithNoDescriptionMetric"	0.061
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"ClassesWithNoSynonymMetric"	1
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"ObjectPropertiesWithNoNameMetric"	0.029
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"ObjectPropertiesWithNoDescriptionMetric"	0.857
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"DataPropertiesWithNoNameMetric"	0
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"DataPropertiesWithNoDescriptionMetric"	0.828
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"DataPropertiesWithNoSynonymMetric"	1
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"AnnotationPropertiesWithNoNameMetric"	1
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://glycomics.ccrc.uga.edu/ontologies/GlycO"	"AnnotationPropertiesWithNoSynonymMetric"	1
