Ontology	Metric	Value
"http://purl.jp/bio/12/glyco/glycan"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.jp/bio/12/glyco/glycan"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.jp/bio/12/glyco/glycan"	"LexicalRegularitiesPerClassMetric"	0.008
"http://purl.jp/bio/12/glyco/glycan"	"LexicalRegularityClassPercentageMetric"	0.008
"http://purl.jp/bio/12/glyco/glycan"	"LexicallySuggestLogicallyDefineMetric"	0.923
"http://purl.jp/bio/12/glyco/glycan"	"NumberOfClassesMetric"	131
"http://purl.jp/bio/12/glyco/glycan"	"NamesPerClassMetric"	0.962
"http://purl.jp/bio/12/glyco/glycan"	"NamesPerPropertyMetric"	0.042
"http://purl.jp/bio/12/glyco/glycan"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.jp/bio/12/glyco/glycan"	"NamesPerDataPropertyMetric"	0.01
"http://purl.jp/bio/12/glyco/glycan"	"NamesPerObjectPropertyMetric"	0.075
"http://purl.jp/bio/12/glyco/glycan"	"SynonymsPerClassMetric"	0
"http://purl.jp/bio/12/glyco/glycan"	"SynonymsPerPropertyMetric"	0
"http://purl.jp/bio/12/glyco/glycan"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.jp/bio/12/glyco/glycan"	"SynonymsPerDataPropertyMetric"	0
"http://purl.jp/bio/12/glyco/glycan"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.jp/bio/12/glyco/glycan"	"DescriptionsPerClassMetric"	0.785
"http://purl.jp/bio/12/glyco/glycan"	"DescriptionsPerPropertyMetric"	0.761
"http://purl.jp/bio/12/glyco/glycan"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.jp/bio/12/glyco/glycan"	"DescriptionsPerDataPropertyMetric"	0.838
"http://purl.jp/bio/12/glyco/glycan"	"DescriptionsPerObjectPropertyMetric"	0.738
"http://purl.jp/bio/12/glyco/glycan"	"ClassesWithNoNameMetric"	0.046
"http://purl.jp/bio/12/glyco/glycan"	"ClassesWithNoDescriptionMetric"	0.215
"http://purl.jp/bio/12/glyco/glycan"	"ClassesWithNoSynonymMetric"	1
"http://purl.jp/bio/12/glyco/glycan"	"ObjectPropertiesWithNoNameMetric"	0.925
"http://purl.jp/bio/12/glyco/glycan"	"ObjectPropertiesWithNoDescriptionMetric"	0.262
"http://purl.jp/bio/12/glyco/glycan"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.jp/bio/12/glyco/glycan"	"DataPropertiesWithNoNameMetric"	0.99
"http://purl.jp/bio/12/glyco/glycan"	"DataPropertiesWithNoDescriptionMetric"	0.162
"http://purl.jp/bio/12/glyco/glycan"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.jp/bio/12/glyco/glycan"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.jp/bio/12/glyco/glycan"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.jp/bio/12/glyco/glycan"	"AnnotationPropertiesWithNoSynonymMetric"	1
