Ontology	Metric	Value
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"NumberOfClassesMetric"	183652
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"NamesPerPropertyMetric"	0.64
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.64
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"SynonymsPerClassMetric"	0.039
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"DescriptionsPerClassMetric"	1
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"DescriptionsPerPropertyMetric"	0.52
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.52
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"ClassesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"ClassesWithNoSynonymMetric"	0.98
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"AnnotationPropertiesWithNoNameMetric"	0.36
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.48
"http://purl.obolibrary.org/obo/gno/2024-04-17/gno.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
