Ontology	Metric	Value
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"NumberOfLexicalRegularitiesMetric"	6
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"NumberOfClassesMetric"	42255
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"NamesPerPropertyMetric"	0.435
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.35
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"SynonymsPerClassMetric"	2.683
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"DescriptionsPerClassMetric"	1.058
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"DescriptionsPerPropertyMetric"	0.304
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.35
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"ClassesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"ClassesWithNoSynonymMetric"	0.348
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"AnnotationPropertiesWithNoNameMetric"	0.65
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.65
"http://purl.obolibrary.org/obo/go/releases/2024-04-24/go.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
