Ontology	Metric	Value
"http://purl.bioontology.org/ontology/HCPCS/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/HCPCS/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/HCPCS/"	"NumberOfClassesMetric"	7455
"http://purl.bioontology.org/ontology/HCPCS/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/HCPCS/"	"NamesPerPropertyMetric"	0.815
"http://purl.bioontology.org/ontology/HCPCS/"	"DescriptionsPerAnnotationPropertyMetric"	0.167
"http://purl.bioontology.org/ontology/HCPCS/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/HCPCS/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/HCPCS/"	"SynonymsPerClassMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"DescriptionsPerClassMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"DescriptionsPerPropertyMetric"	0.926
"http://purl.bioontology.org/ontology/HCPCS/"	"DescriptionsPerAnnotationPropertyMetric"	0.667
"http://purl.bioontology.org/ontology/HCPCS/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/HCPCS/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/HCPCS/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"ClassesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/ontology/HCPCS/"	"ClassesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/HCPCS/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/HCPCS/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/HCPCS/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/HCPCS/"	"AnnotationPropertiesWithNoNameMetric"	0.833
"http://purl.bioontology.org/ontology/HCPCS/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.833
"http://purl.bioontology.org/ontology/HCPCS/"	"AnnotationPropertiesWithNoSynonymMetric"	1
