Ontology	Metric	Value
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"NumberOfLexicalRegularitiesMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"NumberOfLexicalRegularityClassesMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"LexicalRegularitiesPerClassMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"LexicalRegularityClassPercentageMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"SystematicNamingMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"NumberOfClassesMetric"	29996
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"NamesPerClassMetric"	1.989
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"NamesPerPropertyMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"NamesPerDataPropertyMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"NamesPerObjectPropertyMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"SynonymsPerClassMetric"	1.926
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"SynonymsPerPropertyMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"SynonymsPerAnnotationPropertyMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"SynonymsPerDataPropertyMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"SynonymsPerObjectPropertyMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"DescriptionsPerClassMetric"	0.002
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"DescriptionsPerPropertyMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"DescriptionsPerDataPropertyMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"ClassesWithNoNameMetric"	0.003
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"ClassesWithNoDescriptionMetric"	0.998
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"ClassesWithNoSynonymMetric"	0.276
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"DataPropertiesWithNoNameMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"AnnotationPropertiesWithNoNameMetric"	1
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://ontology.lst.tfo.upm.es/SPT/0.0.2"	"AnnotationPropertiesWithNoSynonymMetric"	1
