Ontology	Metric	Value
"http://purl.org/twc/HHEAR/1.10"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.org/twc/HHEAR/1.10"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.org/twc/HHEAR/1.10"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.org/twc/HHEAR/1.10"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.org/twc/HHEAR/1.10"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.org/twc/HHEAR/1.10"	"SystematicNamingMetric"	NaN
"http://purl.org/twc/HHEAR/1.10"	"NumberOfClassesMetric"	2886
"http://purl.org/twc/HHEAR/1.10"	"NamesPerClassMetric"	1.016
"http://purl.org/twc/HHEAR/1.10"	"NamesPerPropertyMetric"	0.94
"http://purl.org/twc/HHEAR/1.10"	"DescriptionsPerAnnotationPropertyMetric"	0.692
"http://purl.org/twc/HHEAR/1.10"	"NamesPerDataPropertyMetric"	0.8
"http://purl.org/twc/HHEAR/1.10"	"NamesPerObjectPropertyMetric"	1.075
"http://purl.org/twc/HHEAR/1.10"	"SynonymsPerClassMetric"	0.138
"http://purl.org/twc/HHEAR/1.10"	"SynonymsPerPropertyMetric"	0.036
"http://purl.org/twc/HHEAR/1.10"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.org/twc/HHEAR/1.10"	"SynonymsPerDataPropertyMetric"	0
"http://purl.org/twc/HHEAR/1.10"	"SynonymsPerObjectPropertyMetric"	0.057
"http://purl.org/twc/HHEAR/1.10"	"DescriptionsPerClassMetric"	0.519
"http://purl.org/twc/HHEAR/1.10"	"DescriptionsPerPropertyMetric"	0.738
"http://purl.org/twc/HHEAR/1.10"	"DescriptionsPerAnnotationPropertyMetric"	0.808
"http://purl.org/twc/HHEAR/1.10"	"DescriptionsPerDataPropertyMetric"	0.6
"http://purl.org/twc/HHEAR/1.10"	"DescriptionsPerObjectPropertyMetric"	0.717
"http://purl.org/twc/HHEAR/1.10"	"ClassesWithNoNameMetric"	0.024
"http://purl.org/twc/HHEAR/1.10"	"ClassesWithNoDescriptionMetric"	0.505
"http://purl.org/twc/HHEAR/1.10"	"ClassesWithNoSynonymMetric"	0.956
"http://purl.org/twc/HHEAR/1.10"	"ObjectPropertiesWithNoNameMetric"	0.113
"http://purl.org/twc/HHEAR/1.10"	"ObjectPropertiesWithNoDescriptionMetric"	0.755
"http://purl.org/twc/HHEAR/1.10"	"ObjectPropertiesWithNoSynonymMetric"	0.962
"http://purl.org/twc/HHEAR/1.10"	"DataPropertiesWithNoNameMetric"	0.2
"http://purl.org/twc/HHEAR/1.10"	"DataPropertiesWithNoDescriptionMetric"	0.4
"http://purl.org/twc/HHEAR/1.10"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.org/twc/HHEAR/1.10"	"AnnotationPropertiesWithNoNameMetric"	0.538
"http://purl.org/twc/HHEAR/1.10"	"AnnotationPropertiesWithNoDescriptionMetric"	0.538
"http://purl.org/twc/HHEAR/1.10"	"AnnotationPropertiesWithNoSynonymMetric"	1
