Ontology	Metric	Value
"http://purl.obolibrary.org/obo/in/hino.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/in/hino.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/in/hino.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/in/hino.owl"	"NumberOfClassesMetric"	36239
"http://purl.obolibrary.org/obo/in/hino.owl"	"NamesPerClassMetric"	0.676
"http://purl.obolibrary.org/obo/in/hino.owl"	"NamesPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/in/hino.owl"	"NamesPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"SynonymsPerClassMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/in/hino.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"DescriptionsPerClassMetric"	1.277
"http://purl.obolibrary.org/obo/in/hino.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/in/hino.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/in/hino.owl"	"ClassesWithNoNameMetric"	0.324
"http://purl.obolibrary.org/obo/in/hino.owl"	"ClassesWithNoDescriptionMetric"	0.54
"http://purl.obolibrary.org/obo/in/hino.owl"	"ClassesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/in/hino.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/in/hino.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/in/hino.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/in/hino.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/in/hino.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/in/hino.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/in/hino.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://purl.obolibrary.org/obo/in/hino.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/in/hino.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
