Ontology	Metric	Value
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"NumberOfLexicalRegularitiesMetric"	3
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"LexicalRegularitiesPerClassMetric"	0.006
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"LexicalRegularityClassPercentageMetric"	0.002
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"LexicallySuggestLogicallyDefineMetric"	0.768
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"SystematicNamingMetric"	0.581
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"NumberOfClassesMetric"	495
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"NamesPerClassMetric"	1.002
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"NamesPerPropertyMetric"	0.869
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"NamesPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"SynonymsPerClassMetric"	0
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"DescriptionsPerClassMetric"	0.848
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"DescriptionsPerPropertyMetric"	0.869
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.5
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"ClassesWithNoDescriptionMetric"	0.19
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"ClassesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"AnnotationPropertiesWithNoNameMetric"	0.562
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.562
"http://purl.obolibrary.org/obo/hio/releases/2019-10-31/hio.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
