Ontology	Metric	Value
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"NumberOfLexicalRegularitiesMetric"	4
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"LexicalRegularitiesPerClassMetric"	0.062
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"LexicalRegularityClassPercentageMetric"	0.015
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"LexicallySuggestLogicallyDefineMetric"	0.875
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"SystematicNamingMetric"	0.264
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"NumberOfClassesMetric"	65
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"NamesPerClassMetric"	1
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"NamesPerPropertyMetric"	0.444
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.444
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"NamesPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"SynonymsPerClassMetric"	1.169
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"SynonymsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"DescriptionsPerClassMetric"	1.292
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"DescriptionsPerPropertyMetric"	0
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"ClassesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"ClassesWithNoSynonymMetric"	0.431
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"AnnotationPropertiesWithNoNameMetric"	0.556
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.obolibrary.org/obo/hom/releases/2015-01-07/hom.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
