Ontology	Metric	Value
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"NumberOfLexicalRegularitiesMetric"	1
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"LexicalRegularitiesPerClassMetric"	0.002
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"LexicalRegularityClassPercentageMetric"	0.002
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"LexicallySuggestLogicallyDefineMetric"	0.851
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"SystematicNamingMetric"	0.369
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"NumberOfClassesMetric"	603
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"NamesPerClassMetric"	1.007
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"NamesPerPropertyMetric"	1.012
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.873
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"NamesPerDataPropertyMetric"	1
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"NamesPerObjectPropertyMetric"	1.096
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"SynonymsPerClassMetric"	0.706
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"SynonymsPerPropertyMetric"	0.262
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"SynonymsPerAnnotationPropertyMetric"	0.044
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"SynonymsPerDataPropertyMetric"	0
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"SynonymsPerObjectPropertyMetric"	0.398
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"DescriptionsPerClassMetric"	0.754
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"DescriptionsPerPropertyMetric"	0.863
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.734
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"DescriptionsPerDataPropertyMetric"	0
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"DescriptionsPerObjectPropertyMetric"	0.954
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"ClassesWithNoNameMetric"	0.008
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"ClassesWithNoDescriptionMetric"	0.307
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"ClassesWithNoSynonymMetric"	0.754
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"ObjectPropertiesWithNoNameMetric"	0.008
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.134
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.702
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"DataPropertiesWithNoNameMetric"	0
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"DataPropertiesWithNoDescriptionMetric"	1
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"DataPropertiesWithNoSynonymMetric"	1
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"AnnotationPropertiesWithNoNameMetric"	0.215
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.43
"https://raw.githubusercontent.com/aellenhicks/htn_owl/master/htn.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.968
