Ontology	Metric	Value
"http://purl.bioontology.org/ontology/ICD10CM/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/ICD10CM/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/ICD10CM/"	"NumberOfClassesMetric"	97743
"http://purl.bioontology.org/ontology/ICD10CM/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"NamesPerPropertyMetric"	0.688
"http://purl.bioontology.org/ontology/ICD10CM/"	"DescriptionsPerAnnotationPropertyMetric"	0.286
"http://purl.bioontology.org/ontology/ICD10CM/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"SynonymsPerClassMetric"	0.136
"http://purl.bioontology.org/ontology/ICD10CM/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"DescriptionsPerClassMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"ClassesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"ClassesWithNoSynonymMetric"	0.928
"http://purl.bioontology.org/ontology/ICD10CM/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/ICD10CM/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/ICD10CM/"	"AnnotationPropertiesWithNoNameMetric"	0.714
"http://purl.bioontology.org/ontology/ICD10CM/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.714
"http://purl.bioontology.org/ontology/ICD10CM/"	"AnnotationPropertiesWithNoSynonymMetric"	1
