Ontology	Metric	Value
"http://purl.bioontology.org/ontology/ICD10PCS/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/ICD10PCS/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/ICD10PCS/"	"NumberOfClassesMetric"	191674
"http://purl.bioontology.org/ontology/ICD10PCS/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"NamesPerPropertyMetric"	0.545
"http://purl.bioontology.org/ontology/ICD10PCS/"	"DescriptionsPerAnnotationPropertyMetric"	0.286
"http://purl.bioontology.org/ontology/ICD10PCS/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"SynonymsPerClassMetric"	0.415
"http://purl.bioontology.org/ontology/ICD10PCS/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"DescriptionsPerClassMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"ClassesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"ClassesWithNoSynonymMetric"	0.585
"http://purl.bioontology.org/ontology/ICD10PCS/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/ICD10PCS/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/ICD10PCS/"	"AnnotationPropertiesWithNoNameMetric"	0.714
"http://purl.bioontology.org/ontology/ICD10PCS/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.714
"http://purl.bioontology.org/ontology/ICD10PCS/"	"AnnotationPropertiesWithNoSynonymMetric"	1
