Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ico.owl"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.obolibrary.org/obo/ico.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.obolibrary.org/obo/ico.owl"	"LexicalRegularitiesPerClassMetric"	0.001
"http://purl.obolibrary.org/obo/ico.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.obolibrary.org/obo/ico.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.obolibrary.org/obo/ico.owl"	"SystematicNamingMetric"	NaN
"http://purl.obolibrary.org/obo/ico.owl"	"NumberOfClassesMetric"	880
"http://purl.obolibrary.org/obo/ico.owl"	"NamesPerClassMetric"	1.006
"http://purl.obolibrary.org/obo/ico.owl"	"NamesPerPropertyMetric"	0.983
"http://purl.obolibrary.org/obo/ico.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.942
"http://purl.obolibrary.org/obo/ico.owl"	"NamesPerDataPropertyMetric"	0.833
"http://purl.obolibrary.org/obo/ico.owl"	"NamesPerObjectPropertyMetric"	1.034
"http://purl.obolibrary.org/obo/ico.owl"	"SynonymsPerClassMetric"	0.295
"http://purl.obolibrary.org/obo/ico.owl"	"SynonymsPerPropertyMetric"	0.263
"http://purl.obolibrary.org/obo/ico.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/ico.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/ico.owl"	"SynonymsPerObjectPropertyMetric"	0.54
"http://purl.obolibrary.org/obo/ico.owl"	"DescriptionsPerClassMetric"	1.011
"http://purl.obolibrary.org/obo/ico.owl"	"DescriptionsPerPropertyMetric"	0.872
"http://purl.obolibrary.org/obo/ico.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.686
"http://purl.obolibrary.org/obo/ico.owl"	"DescriptionsPerDataPropertyMetric"	0.167
"http://purl.obolibrary.org/obo/ico.owl"	"DescriptionsPerObjectPropertyMetric"	1.103
"http://purl.obolibrary.org/obo/ico.owl"	"ClassesWithNoNameMetric"	0.001
"http://purl.obolibrary.org/obo/ico.owl"	"ClassesWithNoDescriptionMetric"	0.068
"http://purl.obolibrary.org/obo/ico.owl"	"ClassesWithNoSynonymMetric"	0.853
"http://purl.obolibrary.org/obo/ico.owl"	"ObjectPropertiesWithNoNameMetric"	0.01
"http://purl.obolibrary.org/obo/ico.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.094
"http://purl.obolibrary.org/obo/ico.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.677
"http://purl.obolibrary.org/obo/ico.owl"	"DataPropertiesWithNoNameMetric"	0.167
"http://purl.obolibrary.org/obo/ico.owl"	"DataPropertiesWithNoDescriptionMetric"	0.833
"http://purl.obolibrary.org/obo/ico.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/ico.owl"	"AnnotationPropertiesWithNoNameMetric"	0.337
"http://purl.obolibrary.org/obo/ico.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.512
"http://purl.obolibrary.org/obo/ico.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
