Ontology	Metric	Value
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"NumberOfLexicalRegularitiesMetric"	6
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"NumberOfLexicalRegularityClassesMetric"	0
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"LexicalRegularitiesPerClassMetric"	0.05
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"LexicalRegularityClassPercentageMetric"	0
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"SystematicNamingMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"NumberOfClassesMetric"	121
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"NamesPerClassMetric"	2
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"NamesPerPropertyMetric"	0.222
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"DescriptionsPerAnnotationPropertyMetric"	0.222
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"NamesPerDataPropertyMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"NamesPerObjectPropertyMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"SynonymsPerClassMetric"	0.017
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"SynonymsPerPropertyMetric"	0
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"SynonymsPerAnnotationPropertyMetric"	0
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"SynonymsPerDataPropertyMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"SynonymsPerObjectPropertyMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"DescriptionsPerClassMetric"	0.008
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"DescriptionsPerPropertyMetric"	0
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"DescriptionsPerDataPropertyMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"DescriptionsPerObjectPropertyMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"ClassesWithNoNameMetric"	0
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"ClassesWithNoDescriptionMetric"	0.992
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"ClassesWithNoSynonymMetric"	0.992
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"ObjectPropertiesWithNoNameMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"DataPropertiesWithNoNameMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"AnnotationPropertiesWithNoNameMetric"	0.778
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://webprotege.stanford.edu/project/8pMSl9xBFPU3Gtu4U9kAEE"	"AnnotationPropertiesWithNoSynonymMetric"	1
