Ontology	Metric	Value
"http://purl.obolibrary.org/obo/ino.owl"	"NumberOfLexicalRegularitiesMetric"	2
"http://purl.obolibrary.org/obo/ino.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"http://purl.obolibrary.org/obo/ino.owl"	"LexicalRegularitiesPerClassMetric"	0.006
"http://purl.obolibrary.org/obo/ino.owl"	"LexicalRegularityClassPercentageMetric"	0.003
"http://purl.obolibrary.org/obo/ino.owl"	"LexicallySuggestLogicallyDefineMetric"	0.912
"http://purl.obolibrary.org/obo/ino.owl"	"NumberOfClassesMetric"	328
"http://purl.obolibrary.org/obo/ino.owl"	"NamesPerClassMetric"	0.997
"http://purl.obolibrary.org/obo/ino.owl"	"NamesPerPropertyMetric"	1.016
"http://purl.obolibrary.org/obo/ino.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.892
"http://purl.obolibrary.org/obo/ino.owl"	"NamesPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/ino.owl"	"NamesPerObjectPropertyMetric"	1.153
"http://purl.obolibrary.org/obo/ino.owl"	"SynonymsPerClassMetric"	0.598
"http://purl.obolibrary.org/obo/ino.owl"	"SynonymsPerPropertyMetric"	0.224
"http://purl.obolibrary.org/obo/ino.owl"	"SynonymsPerAnnotationPropertyMetric"	0.015
"http://purl.obolibrary.org/obo/ino.owl"	"SynonymsPerDataPropertyMetric"	0
"http://purl.obolibrary.org/obo/ino.owl"	"SynonymsPerObjectPropertyMetric"	0.458
"http://purl.obolibrary.org/obo/ino.owl"	"DescriptionsPerClassMetric"	0.936
"http://purl.obolibrary.org/obo/ino.owl"	"DescriptionsPerPropertyMetric"	0.824
"http://purl.obolibrary.org/obo/ino.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.831
"http://purl.obolibrary.org/obo/ino.owl"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.obolibrary.org/obo/ino.owl"	"DescriptionsPerObjectPropertyMetric"	0.814
"http://purl.obolibrary.org/obo/ino.owl"	"ClassesWithNoNameMetric"	0.003
"http://purl.obolibrary.org/obo/ino.owl"	"ClassesWithNoDescriptionMetric"	0.122
"http://purl.obolibrary.org/obo/ino.owl"	"ClassesWithNoSynonymMetric"	0.68
"http://purl.obolibrary.org/obo/ino.owl"	"ObjectPropertiesWithNoNameMetric"	0.017
"http://purl.obolibrary.org/obo/ino.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.186
"http://purl.obolibrary.org/obo/ino.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.644
"http://purl.obolibrary.org/obo/ino.owl"	"DataPropertiesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/ino.owl"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.obolibrary.org/obo/ino.owl"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.obolibrary.org/obo/ino.owl"	"AnnotationPropertiesWithNoNameMetric"	0.138
"http://purl.obolibrary.org/obo/ino.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.446
"http://purl.obolibrary.org/obo/ino.owl"	"AnnotationPropertiesWithNoSynonymMetric"	0.985
