Ontology	Metric	Value
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"NumberOfLexicalRegularitiesMetric"	2
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"NumberOfLexicalRegularityClassesMetric"	1
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"LexicalRegularitiesPerClassMetric"	0.001
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"LexicalRegularityClassPercentageMetric"	0
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"LexicallySuggestLogicallyDefineMetric"	0.48
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"SystematicNamingMetric"	0.843
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"NumberOfClassesMetric"	3148
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"NamesPerClassMetric"	1
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"NamesPerPropertyMetric"	0.667
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.667
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"NamesPerDataPropertyMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"NamesPerObjectPropertyMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"SynonymsPerClassMetric"	6.262
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"SynonymsPerPropertyMetric"	0
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"SynonymsPerDataPropertyMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"SynonymsPerObjectPropertyMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"DescriptionsPerClassMetric"	0
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"DescriptionsPerPropertyMetric"	0
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"DescriptionsPerObjectPropertyMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"ClassesWithNoNameMetric"	0
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"ClassesWithNoDescriptionMetric"	1
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"ClassesWithNoSynonymMetric"	0
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"ObjectPropertiesWithNoNameMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"ObjectPropertiesWithNoDescriptionMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"ObjectPropertiesWithNoSynonymMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"DataPropertiesWithNoNameMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"AnnotationPropertiesWithNoNameMetric"	0.333
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"https://bioportal.bioontology.org/ontologies/ISPO.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
