Ontology	Metric	Value
"http://purl.bioontology.org/ontology/ISSVA"	"NumberOfLexicalRegularitiesMetric"	1
"http://purl.bioontology.org/ontology/ISSVA"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"LexicalRegularitiesPerClassMetric"	0.005
"http://purl.bioontology.org/ontology/ISSVA"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/ISSVA"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/ISSVA"	"NumberOfClassesMetric"	194
"http://purl.bioontology.org/ontology/ISSVA"	"NamesPerClassMetric"	1.01
"http://purl.bioontology.org/ontology/ISSVA"	"NamesPerPropertyMetric"	0.19
"http://purl.bioontology.org/ontology/ISSVA"	"DescriptionsPerAnnotationPropertyMetric"	0.15
"http://purl.bioontology.org/ontology/ISSVA"	"NamesPerDataPropertyMetric"	NaN
"http://purl.bioontology.org/ontology/ISSVA"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/ISSVA"	"SynonymsPerClassMetric"	0.42
"http://purl.bioontology.org/ontology/ISSVA"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.bioontology.org/ontology/ISSVA"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"DescriptionsPerClassMetric"	0.14
"http://purl.bioontology.org/ontology/ISSVA"	"DescriptionsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.bioontology.org/ontology/ISSVA"	"DescriptionsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"ClassesWithNoDescriptionMetric"	0.87
"http://purl.bioontology.org/ontology/ISSVA"	"ClassesWithNoSynonymMetric"	0.632
"http://purl.bioontology.org/ontology/ISSVA"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/ISSVA"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/ontology/ISSVA"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/ISSVA"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.bioontology.org/ontology/ISSVA"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.bioontology.org/ontology/ISSVA"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.bioontology.org/ontology/ISSVA"	"AnnotationPropertiesWithNoNameMetric"	0.9
"http://purl.bioontology.org/ontology/ISSVA"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://purl.bioontology.org/ontology/ISSVA"	"AnnotationPropertiesWithNoSynonymMetric"	1
