Ontology	Metric	Value
"https://identifiers.org/ito:ontology"	"NumberOfLexicalRegularitiesMetric"	4
"https://identifiers.org/ito:ontology"	"NumberOfLexicalRegularityClassesMetric"	3
"https://identifiers.org/ito:ontology"	"LexicalRegularitiesPerClassMetric"	0
"https://identifiers.org/ito:ontology"	"LexicalRegularityClassPercentageMetric"	0
"https://identifiers.org/ito:ontology"	"LexicallySuggestLogicallyDefineMetric"	0.701
"https://identifiers.org/ito:ontology"	"SystematicNamingMetric"	0.999
"https://identifiers.org/ito:ontology"	"NumberOfClassesMetric"	16283
"https://identifiers.org/ito:ontology"	"NamesPerClassMetric"	1
"https://identifiers.org/ito:ontology"	"NamesPerPropertyMetric"	0.991
"https://identifiers.org/ito:ontology"	"DescriptionsPerAnnotationPropertyMetric"	0.182
"https://identifiers.org/ito:ontology"	"NamesPerDataPropertyMetric"	1
"https://identifiers.org/ito:ontology"	"NamesPerObjectPropertyMetric"	1
"https://identifiers.org/ito:ontology"	"SynonymsPerClassMetric"	0.154
"https://identifiers.org/ito:ontology"	"SynonymsPerPropertyMetric"	0.003
"https://identifiers.org/ito:ontology"	"SynonymsPerAnnotationPropertyMetric"	0.091
"https://identifiers.org/ito:ontology"	"SynonymsPerDataPropertyMetric"	0
"https://identifiers.org/ito:ontology"	"SynonymsPerObjectPropertyMetric"	0.4
"https://identifiers.org/ito:ontology"	"DescriptionsPerClassMetric"	0.032
"https://identifiers.org/ito:ontology"	"DescriptionsPerPropertyMetric"	0.016
"https://identifiers.org/ito:ontology"	"DescriptionsPerAnnotationPropertyMetric"	0.091
"https://identifiers.org/ito:ontology"	"DescriptionsPerDataPropertyMetric"	0.012
"https://identifiers.org/ito:ontology"	"DescriptionsPerObjectPropertyMetric"	0.667
"https://identifiers.org/ito:ontology"	"ClassesWithNoNameMetric"	0
"https://identifiers.org/ito:ontology"	"ClassesWithNoDescriptionMetric"	0.97
"https://identifiers.org/ito:ontology"	"ClassesWithNoSynonymMetric"	0.939
"https://identifiers.org/ito:ontology"	"ObjectPropertiesWithNoNameMetric"	0
"https://identifiers.org/ito:ontology"	"ObjectPropertiesWithNoDescriptionMetric"	0.333
"https://identifiers.org/ito:ontology"	"ObjectPropertiesWithNoSynonymMetric"	0.6
"https://identifiers.org/ito:ontology"	"DataPropertiesWithNoNameMetric"	0
"https://identifiers.org/ito:ontology"	"DataPropertiesWithNoDescriptionMetric"	0.988
"https://identifiers.org/ito:ontology"	"DataPropertiesWithNoSynonymMetric"	1
"https://identifiers.org/ito:ontology"	"AnnotationPropertiesWithNoNameMetric"	0.818
"https://identifiers.org/ito:ontology"	"AnnotationPropertiesWithNoDescriptionMetric"	0.939
"https://identifiers.org/ito:ontology"	"AnnotationPropertiesWithNoSynonymMetric"	0.939
