Ontology	Metric	Value
"http://anzsoil.org/def/au/asls/landform"	"NumberOfLexicalRegularitiesMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"NumberOfLexicalRegularityClassesMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"LexicalRegularitiesPerClassMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"LexicalRegularityClassPercentageMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://anzsoil.org/def/au/asls/landform"	"SystematicNamingMetric"	NaN
"http://anzsoil.org/def/au/asls/landform"	"NumberOfClassesMetric"	4
"http://anzsoil.org/def/au/asls/landform"	"NamesPerClassMetric"	0.25
"http://anzsoil.org/def/au/asls/landform"	"NamesPerPropertyMetric"	0.182
"http://anzsoil.org/def/au/asls/landform"	"DescriptionsPerAnnotationPropertyMetric"	0.08
"http://anzsoil.org/def/au/asls/landform"	"NamesPerDataPropertyMetric"	1
"http://anzsoil.org/def/au/asls/landform"	"NamesPerObjectPropertyMetric"	0.429
"http://anzsoil.org/def/au/asls/landform"	"SynonymsPerClassMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"SynonymsPerPropertyMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"SynonymsPerAnnotationPropertyMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"SynonymsPerDataPropertyMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"SynonymsPerObjectPropertyMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"DescriptionsPerClassMetric"	0.5
"http://anzsoil.org/def/au/asls/landform"	"DescriptionsPerPropertyMetric"	0.091
"http://anzsoil.org/def/au/asls/landform"	"DescriptionsPerAnnotationPropertyMetric"	0.08
"http://anzsoil.org/def/au/asls/landform"	"DescriptionsPerDataPropertyMetric"	1
"http://anzsoil.org/def/au/asls/landform"	"DescriptionsPerObjectPropertyMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"ClassesWithNoNameMetric"	0.75
"http://anzsoil.org/def/au/asls/landform"	"ClassesWithNoDescriptionMetric"	0.75
"http://anzsoil.org/def/au/asls/landform"	"ClassesWithNoSynonymMetric"	1
"http://anzsoil.org/def/au/asls/landform"	"ObjectPropertiesWithNoNameMetric"	0.571
"http://anzsoil.org/def/au/asls/landform"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://anzsoil.org/def/au/asls/landform"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://anzsoil.org/def/au/asls/landform"	"DataPropertiesWithNoNameMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"DataPropertiesWithNoDescriptionMetric"	0
"http://anzsoil.org/def/au/asls/landform"	"DataPropertiesWithNoSynonymMetric"	1
"http://anzsoil.org/def/au/asls/landform"	"AnnotationPropertiesWithNoNameMetric"	0.92
"http://anzsoil.org/def/au/asls/landform"	"AnnotationPropertiesWithNoDescriptionMetric"	0.92
"http://anzsoil.org/def/au/asls/landform"	"AnnotationPropertiesWithNoSynonymMetric"	1
