Ontology	Metric	Value
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"NumberOfLexicalRegularitiesMetric"	5
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"NumberOfLexicalRegularityClassesMetric"	2
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"LexicalRegularitiesPerClassMetric"	0.006
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"LexicalRegularityClassPercentageMetric"	0.002
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"LexicallySuggestLogicallyDefineMetric"	0.994
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"SystematicNamingMetric"	0.882
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"NumberOfClassesMetric"	822
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"NamesPerClassMetric"	1.011
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"NamesPerPropertyMetric"	1.071
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.536
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"NamesPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"NamesPerObjectPropertyMetric"	1.333
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"SynonymsPerClassMetric"	0.305
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"SynonymsPerPropertyMetric"	0.071
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"SynonymsPerObjectPropertyMetric"	0.105
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"DescriptionsPerClassMetric"	0.877
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"DescriptionsPerPropertyMetric"	0.929
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"DescriptionsPerAnnotationPropertyMetric"	0.214
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"DescriptionsPerObjectPropertyMetric"	1.281
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"ClassesWithNoNameMetric"	0
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"ClassesWithNoDescriptionMetric"	0.15
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"ClassesWithNoSynonymMetric"	0.789
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"ObjectPropertiesWithNoNameMetric"	0.018
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"ObjectPropertiesWithNoDescriptionMetric"	0.088
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"ObjectPropertiesWithNoSynonymMetric"	0.93
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"AnnotationPropertiesWithNoNameMetric"	0.607
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	0.786
"http://purl.obolibrary.org/obo/lepao/releases/2023-02-18/lepao.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
