Ontology	Metric	Value
"http://purl.bioontology.org/ontology/LNC/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/LNC/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/LNC/"	"NumberOfClassesMetric"	288936
"http://purl.bioontology.org/ontology/LNC/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/LNC/"	"NamesPerPropertyMetric"	0.966
"http://purl.bioontology.org/ontology/LNC/"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"http://purl.bioontology.org/ontology/LNC/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/LNC/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/LNC/"	"SynonymsPerClassMetric"	1.261
"http://purl.bioontology.org/ontology/LNC/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"DescriptionsPerClassMetric"	0.002
"http://purl.bioontology.org/ontology/LNC/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/LNC/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/LNC/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/LNC/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/LNC/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"ClassesWithNoDescriptionMetric"	0.998
"http://purl.bioontology.org/ontology/LNC/"	"ClassesWithNoSynonymMetric"	0.56
"http://purl.bioontology.org/ontology/LNC/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/LNC/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/LNC/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/LNC/"	"AnnotationPropertiesWithNoNameMetric"	0.625
"http://purl.bioontology.org/ontology/LNC/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.625
"http://purl.bioontology.org/ontology/LNC/"	"AnnotationPropertiesWithNoSynonymMetric"	1
