Ontology	Metric	Value
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"NumberOfLexicalRegularitiesMetric"	3
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"NumberOfLexicalRegularityClassesMetric"	1
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"LexicalRegularitiesPerClassMetric"	0.045
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"LexicalRegularityClassPercentageMetric"	0.015
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"LexicallySuggestLogicallyDefineMetric"	1
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"SystematicNamingMetric"	1
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"NumberOfClassesMetric"	67
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"NamesPerClassMetric"	0.879
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"NamesPerPropertyMetric"	0.805
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"DescriptionsPerAnnotationPropertyMetric"	0.786
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"NamesPerDataPropertyMetric"	0.929
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"NamesPerObjectPropertyMetric"	0.758
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"SynonymsPerClassMetric"	0
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"SynonymsPerPropertyMetric"	0
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"SynonymsPerAnnotationPropertyMetric"	0
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"SynonymsPerDataPropertyMetric"	0
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"SynonymsPerObjectPropertyMetric"	0
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"DescriptionsPerClassMetric"	0.591
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"DescriptionsPerPropertyMetric"	0.703
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"DescriptionsPerAnnotationPropertyMetric"	0.75
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"DescriptionsPerDataPropertyMetric"	0.75
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"DescriptionsPerObjectPropertyMetric"	0.661
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"ClassesWithNoNameMetric"	0.121
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"ClassesWithNoDescriptionMetric"	0.409
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"ClassesWithNoSynonymMetric"	1
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"ObjectPropertiesWithNoNameMetric"	0.242
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"ObjectPropertiesWithNoDescriptionMetric"	0.339
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"DataPropertiesWithNoNameMetric"	0.071
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"DataPropertiesWithNoDescriptionMetric"	0.25
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"DataPropertiesWithNoSynonymMetric"	1
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"AnnotationPropertiesWithNoNameMetric"	0.214
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"AnnotationPropertiesWithNoDescriptionMetric"	0.25
"http://www.loc.gov/standards/mads/rdf/v1.rdf"	"AnnotationPropertiesWithNoSynonymMetric"	1
