Ontology	Metric	Value
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"SystematicNamingMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"NumberOfClassesMetric"	28
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"NamesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"NamesPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"NamesPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"NamesPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"SynonymsPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"SynonymsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"DescriptionsPerClassMetric"	0.107
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"DescriptionsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"ClassesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"ClassesWithNoDescriptionMetric"	0.893
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"ClassesWithNoSynonymMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matr.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
