Ontology	Metric	Value
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"SystematicNamingMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"NumberOfClassesMetric"	8
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"NamesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"NamesPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"NamesPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"NamesPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"SynonymsPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"SynonymsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"DescriptionsPerClassMetric"	0.125
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"DescriptionsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"ClassesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"ClassesWithNoDescriptionMetric"	0.875
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"ClassesWithNoSynonymMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrCompound.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
