Ontology	Metric	Value
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"NumberOfLexicalRegularitiesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"NumberOfLexicalRegularityClassesMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"LexicalRegularitiesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"LexicalRegularityClassPercentageMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"SystematicNamingMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"NumberOfClassesMetric"	44
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"NamesPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"NamesPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"NamesPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"NamesPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"SynonymsPerClassMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"SynonymsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"SynonymsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"SynonymsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"SynonymsPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"DescriptionsPerClassMetric"	0.841
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"DescriptionsPerPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"DescriptionsPerAnnotationPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"DescriptionsPerDataPropertyMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"DescriptionsPerObjectPropertyMetric"	0
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"ClassesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"ClassesWithNoDescriptionMetric"	0.159
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"ClassesWithNoSynonymMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"ObjectPropertiesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"ObjectPropertiesWithNoDescriptionMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"DataPropertiesWithNoNameMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"DataPropertiesWithNoDescriptionMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"DataPropertiesWithNoSynonymMetric"	NaN
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"AnnotationPropertiesWithNoNameMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"AnnotationPropertiesWithNoDescriptionMetric"	1
"http://sweet.jpl.nasa.gov/2.3/matrRockIgneous.owl"	"AnnotationPropertiesWithNoSynonymMetric"	1
