Ontology	Metric	Value
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"NumberOfLexicalRegularitiesMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"NumberOfLexicalRegularityClassesMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"LexicalRegularitiesPerClassMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"LexicalRegularityClassPercentageMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"LexicallySuggestLogicallyDefineMetric"	NaN
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"SystematicNamingMetric"	NaN
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"NumberOfClassesMetric"	2268
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"NamesPerClassMetric"	1
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"NamesPerPropertyMetric"	0.762
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"DescriptionsPerAnnotationPropertyMetric"	0.375
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"NamesPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"NamesPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"SynonymsPerClassMetric"	0.418
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"SynonymsPerPropertyMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"SynonymsPerAnnotationPropertyMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"SynonymsPerDataPropertyMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"SynonymsPerObjectPropertyMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"DescriptionsPerClassMetric"	0.451
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"DescriptionsPerPropertyMetric"	1
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"DescriptionsPerAnnotationPropertyMetric"	1
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"DescriptionsPerDataPropertyMetric"	1
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"DescriptionsPerObjectPropertyMetric"	1
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"ClassesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"ClassesWithNoDescriptionMetric"	0.549
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"ClassesWithNoSynonymMetric"	0.742
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"ObjectPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"ObjectPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"ObjectPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"DataPropertiesWithNoNameMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"DataPropertiesWithNoDescriptionMetric"	0
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"DataPropertiesWithNoSynonymMetric"	1
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"AnnotationPropertiesWithNoNameMetric"	0.625
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"AnnotationPropertiesWithNoDescriptionMetric"	0.625
"http://purl.bioontology.org/ontology/MEDLINEPLUS/"	"AnnotationPropertiesWithNoSynonymMetric"	1
